,Año,Tmax_to,Tmin_to,Prec_to
0,0,0.0,0.0,0.0
1,1985,0.0,0.0,0.0
2,1986,0.0,0.0,0.0
3,1987,0.0,0.0,0.0
4,1988,0.0,0.0,0.0
5,1989,0.0,0.0,0.0
6,1990,0.0,0.0,0.0
7,1991,0.0,0.0,0.0
8,1992,30.54,20.89,8.4
9,1993,31.55,20.7,7.19
10,1994,31.07,21.24,8.15
11,1995,31.61,21.27,6.05
12,1996,30.72,21.35,6.51
13,1997,31.14,21.5,6.79
14,1998,31.82,21.61,7.0
15,1999,30.94,21.35,7.45
16,2000,31.56,21.01,7.06
17,2001,31.68,21.25,6.26
18,2002,31.36,21.33,7.52
19,2003,31.41,21.43,6.7
20,2004,31.23,21.4,9.3
21,2005,31.56,21.68,7.66
22,2006,31.05,20.84,7.41
23,2007,31.25,20.99,6.73
24,2008,31.51,20.77,7.16
25,2009,31.63,21.24,5.99
26,2010,31.8,21.42,7.67
27,2011,32.4,20.73,7.92
28,2012,30.63,21.03,6.17
