,Año,Tmax_to,Tmin_to,Prec_to
0,0,0.0,0.0,0.0
1,1985,31.34,21.93,8.52
2,1986,0.0,0.0,9.0
3,1987,31.39,21.19,9.61
4,1988,30.82,19.43,8.66
5,1989,34.28,19.4,5.23
6,1990,30.84,22.29,5.87
7,1991,31.73,22.62,6.15
8,1992,32.7,23.0,6.52
9,1993,32.61,22.39,8.01
10,1994,31.02,20.38,8.01
11,1995,31.73,21.27,7.85
12,1996,31.04,22.47,7.47
13,1997,33.6,22.03,6.21
14,1998,0.0,22.43,8.08
15,1999,0.0,19.82,7.01
16,2000,0.0,20.02,8.58
17,2001,0.0,23.62,3.82
18,2002,0.0,19.73,9.63
19,2003,0.0,22.28,7.3
20,2004,0.0,22.46,10.73
21,2005,32.34,22.14,5.75
22,2006,31.6,22.72,8.94
23,2007,31.86,22.76,8.51
24,2008,31.78,23.13,7.9
25,2009,32.15,23.13,7.95
26,2010,32.39,21.58,7.22
27,2011,31.17,22.79,9.31
28,2012,31.23,22.28,9.01
