,Año,Tmax_to,Tmin_to,Prec_to
0,0,0.0,0.0,0.0
1,1985,0.0,0.0,0.0
2,1986,0.0,0.0,0.0
3,1987,0.0,0.0,0.0
4,1988,0.0,0.0,0.0
5,1989,0.0,0.0,10.64
6,1990,30.01,20.65,9.38
7,1991,33.1,21.06,4.57
8,1992,0.0,0.0,4.36
9,1993,0.0,0.0,0.0
10,1994,0.0,0.0,34.27
11,1995,0.0,0.0,0.0
12,1996,0.0,0.0,0.0
13,1997,31.25,21.48,9.58
14,1998,31.37,21.23,9.19
15,1999,30.29,20.79,8.87
16,2000,30.55,20.47,9.17
17,2001,31.31,20.75,8.08
18,2002,31.12,20.96,10.38
19,2003,31.57,20.92,9.22
20,2004,31.28,21.18,9.42
21,2005,31.51,21.35,9.12
22,2006,35.1,21.72,13.96
23,2007,30.74,21.71,8.3
24,2008,31.82,21.49,7.85
25,2009,31.57,21.69,8.72
26,2010,34.13,22.35,8.82
27,2011,0.0,0.0,0.0
28,2012,0.0,0.0,0.0
