,Año,Tmax_to,Tmin_to,Prec_to
0,0,0.0,0.0,0.0
1,1985,30.72,21.56,8.06
2,1986,30.49,21.65,8.69
3,1987,30.98,22.15,8.48
4,1988,31.24,22.12,5.24
5,1989,30.58,21.69,7.39
6,1990,30.56,21.88,8.16
7,1991,30.89,21.86,9.54
8,1992,31.05,22.98,7.66
9,1993,30.76,21.61,7.41
10,1994,31.77,22.47,9.73
11,1995,0.0,0.0,0.0
12,1996,30.41,20.82,9.37
13,1997,31.54,22.26,6.82
14,1998,31.61,22.6,7.51
15,1999,31.4,21.9,7.37
16,2000,30.75,21.89,7.57
17,2001,31.25,21.98,8.35
18,2002,31.03,21.9,8.4
19,2003,31.08,22.31,7.7
20,2004,30.95,22.11,9.62
21,2005,31.15,22.03,7.66
22,2006,30.67,22.08,10.71
23,2007,31.37,21.88,7.19
24,2008,31.17,21.95,8.7
25,2009,31.52,22.13,7.54
26,2010,31.68,22.4,10.69
27,2011,31.11,21.92,7.75
28,2012,31.04,21.82,9.27
