,Año,Tmax_to,Tmin_to,Prec_to
0,0,0.0,0.0,0.0
1,1985,29.21,21.11,9.89
2,1986,0.0,23.76,13.89
3,1987,30.39,20.96,12.11
4,1988,30.44,21.64,9.02
5,1989,29.95,21.17,24.1
6,1990,0.0,0.0,0.0
7,1991,0.0,0.0,0.0
8,1992,0.0,0.0,8.52
9,1993,30.41,21.44,15.55
10,1994,29.91,20.88,11.52
11,1995,30.68,20.81,9.42
12,1996,30.24,20.28,9.98
13,1997,31.14,20.43,8.81
14,1998,31.5,21.64,10.98
15,1999,30.31,21.18,10.23
16,2000,30.73,20.72,9.04
17,2001,31.19,21.46,8.98
18,2002,31.07,21.32,11.15
19,2003,30.95,21.58,9.99
20,2004,31.16,21.25,10.87
21,2005,31.35,20.32,9.57
22,2006,31.27,21.31,12.43
23,2007,31.16,21.36,10.07
24,2008,30.79,21.52,10.05
25,2009,30.69,21.71,9.2
26,2010,30.77,22.12,11.82
27,2011,30.09,21.79,9.84
28,2012,29.98,21.65,11.24
