,Año,Tmax_to,Tmin_to,Prec_to
0,0,0.0,0.0,0.0
1,1985,29.67,20.92,10.76
2,1986,29.5,20.93,12.8
3,1987,30.19,21.21,10.87
4,1988,30.32,21.14,10.38
5,1989,29.64,20.7,10.84
6,1990,29.77,21.08,12.27
7,1991,30.02,21.01,11.57
8,1992,30.4,20.97,11.43
9,1993,29.96,20.77,13.53
10,1994,30.07,20.77,13.56
11,1995,30.62,21.03,12.32
12,1996,30.02,20.74,14.22
13,1997,30.49,21.11,11.95
14,1998,31.02,21.74,13.78
15,1999,30.05,20.96,13.34
16,2000,30.37,21.0,10.09
17,2001,31.0,21.11,12.4
18,2002,30.86,21.15,13.82
19,2003,30.86,21.46,12.1
20,2004,30.76,21.37,13.25
21,2005,30.83,21.54,14.21
22,2006,30.48,21.43,12.92
23,2007,31.19,21.57,11.66
24,2008,30.9,21.48,12.12
25,2009,31.2,21.58,11.92
26,2010,31.33,21.96,13.82
27,2011,30.62,21.02,12.73
28,2012,30.49,20.78,12.7
