,Año,Tmax_to,Tmin_to,Prec_to
0,0,0.0,0.0,0.0
1,1985,30.11,21.55,5.97
2,1986,33.61,21.61,3.42
3,1987,32.25,22.8,7.08
4,1988,0.0,22.33,7.32
5,1989,0.0,22.55,5.68
6,1990,31.85,22.53,5.53
7,1991,31.99,22.58,5.34
8,1992,0.0,0.0,3.09
9,1993,30.83,22.15,6.39
10,1994,33.07,21.98,6.3
11,1995,0.0,0.0,6.49
12,1996,0.0,0.0,8.86
13,1997,0.0,22.96,5.05
14,1998,31.6,23.12,6.79
15,1999,30.71,22.57,6.0
16,2000,30.95,22.67,7.54
17,2001,31.3,22.96,5.99
18,2002,31.33,23.07,7.3
19,2003,31.1,22.97,7.57
20,2004,31.25,23.12,8.28
21,2005,31.59,23.37,6.55
22,2006,31.16,0.0,7.81
23,2007,31.52,22.78,6.38
24,2008,31.62,22.96,6.39
25,2009,31.93,23.17,6.7
26,2010,31.98,23.14,7.46
27,2011,31.47,22.23,8.01
28,2012,31.06,21.62,9.95
